where	who	kind	form	gloss
title	Henry Davis	title	A Newly Discovered Reduplication Pattern in St’át’imcets and its Implications*	the paper's title, with the footnote marker the page prints on it
title	Henry Davis	name	Henry Davis	the first author
title	Gloria Mellesmoen	name	Gloria Mellesmoen	the second author
abstract	St'át'imcets	language	St’át’imcets	the language the paper is about
abstract	St'át'imcets	language	Lillooet Salish	the other name the paper gives its language
§1	St'át'imcets	language	St’	the first piece the extraction leaves of the language name, where a space fell after the apostrophe
§1	St'át'imcets	language	át’imcets	the second piece the extraction leaves of the language name
§1	St'át'imcets	reference	lil	the ISO 639-3 code the paper gives for the language
§1	Squamish	language	Skwxwú7mesh	the neighbouring language whose terminology Kuipers devised
§1	St'át'imcets	cited form	snək̓ʷnúk̓ʷaʔ	'cousins, relatives, friends', a plural noun with C1C2 reduplication
§1	St'át'imcets	cited form	sɣəpɣáp	'trees, forest', a plural noun with C1C2 reduplication
§1	St'át'imcets	cited form	sqʷə́mqʷəm	'mountains, mountain range', a plural noun with C1C2 reduplication
§1	St'át'imcets	cited form	səq̓ʷsáq̓ʷ	'fly many times and/or of many things', a pluractional verb
§1	St'át'imcets	cited form	məl̓məl̓t-xál	'be contagious, of disease', a pluractional verb
§1	St'át'imcets	cited form	x̌ətx̌ətʔílx	'limp repeatedly and/or of many people or animals', a pluractional verb
§1	St'át'imcets	cited form	k̓ínk̓ənt	'dangerous', a property-denoting C1C2 reduplication
§1	St'át'imcets	cited form	lə́x̌ləx̌	'intelligent', a property-denoting C1C2 reduplication
§1	St'át'imcets	cited form	nəsnús	'damp', a property-denoting C1C2 reduplication
fn*	Qwa7yán'ak	name	Qwa7y	the first piece the extraction leaves of Carl Alexander's name
fn*	Qwa7yán'ak	name	án’ak	the second piece the extraction leaves of Carl Alexander's name
fn*	Qwa7yán'ak	place	Nxw	the first piece the extraction leaves of Nxwísten
fn*	Qwa7yán'ak	place	ísten	the second piece the extraction leaves of Nxwísten
fn*	St'át'imcets	language	Upper	the dialect Carl Alexander speaks, as the footnote names it
fn1	Nxaʔamxcín	language	Nxa	the first piece the extraction leaves of Nxaʔamxcín
fn1	Nxaʔamxcín	language	ʔamxcín	the second piece the extraction leaves of Nxaʔamxcín
fn1	Nxaʔamxcín	language	Moses Columbia Salish	the other name the paper gives that language
fn2	Henry Davis	reference	NAPA	the North American Phonetic Alphabet, which the paper transcribes in
fn2	St'át'imcets	notation	(U)	what the paper marks a form specific to Upper St'át'imcets with
fn2	St'át'imcets	notation	(L)	what the paper marks a form specific to Lower St'át'imcets with
§1	St'át'imcets	cited form	sqʷəqʷyíc	'rabbits', a plural noun with initial C1 reduplication
§1	St'át'imcets	cited form	qʷəqʷlít-az̓	'lodgepole pines', a plural noun with initial C1 reduplication
§1	St'át'imcets	cited form	x̌əx̌zúm	'big, plural', a plural adjective with initial C1 reduplication
§1	St'át'imcets	cited form	kʷəkʷíkʷs	'small, plural', a plural adjective with initial C1 reduplication
§1	St'át'imcets	cited form	xʷíxʷitən	'whistle continuously', a continuative verb
§1	St'át'imcets	cited form	(ʔə)státaɬləx	'stand continuously', a continuative verb
§1	St'át'imcets	cited form	nkəkaɬ(ʔ)ás	'three humans', a numeral with initial C1 reduplication
§1	St'át'imcets	cited form	nx̌ʷəx̌ʷʔúcin	'four people', a numeral with initial C1 reduplication
§1	St'át'imcets	cited form	lə́p̓əp̓	'get buried', a verb with final C2 reduplication
§1	St'át'imcets	cited form	qáxʷəxʷ	'get broken', a verb with final C2 reduplication
§1	St'át'imcets	cited form	púɬəɬ	'come to a boil', a verb with final C2 reduplication
§1	St'át'imcets	cited affix	-ʔ-/-p	the inchoative marking C2 reduplication competes with
fn3	Sechelt	language	shashishalhem	one of the neighbouring languages with the progressive prefix
fn3	Comox	language	ʔayʔaǰuθəm	one of the neighbouring languages with the progressive prefix
fn3	Comox	language	Comox -Sliammon	the other name the paper gives that language, as the extraction spaces it
Table 1	St'át'imcets	notation	V́	the stressed full vowel the diminutive replaces
Table 1	St'át'imcets	notation	ə́	the stressed schwa the diminutive replaces it with
(1a)	St'át'imcets	cited form	smúɬac	'woman', the base form
(1a)	Upper St'át'imcets	cited form	smə́<m̓>ɬac	'girl', the diminutive form, marked (U)
(1b)	St'át'imcets	cited form	c̓úqʷaz̓	'fish, salmon', the base form
(1b)	St'át'imcets	cited form	c̓ə́<c̓>qʷaz̓	'little fish, trout', the diminutive form
(1c)	St'át'imcets	cited form	citxʷ	'house', the base form
(1c)	St'át'imcets	cited form	cə́<c>təxʷ	'little house, outhouse', the diminutive form
(1d)	St'át'imcets	cited form	nax̌ʷít	'snake', the base form
(1d)	St'át'imcets	cited form	nax̌ʷə́<x̌ʷ>t	'worm', the diminutive form
(1e)	St'át'imcets	cited form	sqʷəm	'mountain, pile', the base form
(1e)	St'át'imcets	cited form	sqʷə́<qʷ>əm̓	'hill', the diminutive form
(1f)	St'át'imcets	cited form	scwaw̓x(ʷ)	'creek', the base form
(1f)	St'át'imcets	cited form	scwə́<w̓>w̓əx(ʷ)	'little creek', the diminutive form
(1g)	St'át'imcets	cited form	sɣap	'tree', the base form
(1g)	St'át'imcets	cited form	sɣə<ɣ̓>p	'little tree, sapling', the diminutive form
(1h)	St'át'imcets	cited form	maw	'cat', the base form
(1h)	St'át'imcets	cited form	mə́<m>əw̓	'kitten', the diminutive form
(1j)	St'át'imcets	cited form	típəḷ	'table', the base form, read off page 13 because the text scrambles the acute
(1j)	Upper St'át'imcets	cited form	tə́<t>pəḷ	'little table, desk', the diminutive form, marked (U), read off page 13
(1k)	St'át'imcets	cited form	xwaɬ	'road', the base form
(1k)	St'át'imcets	cited form	xwə<w̓>ɬ	'little road, trail', the diminutive form
(2a)	St'át'imcets	cited form	tayt	'hungry', the base form
(2a)	Upper St'át'imcets	cited form	tə́<t>y̓ət	'a bit hungry, hungrier', the diminutive form, marked (U)
(2b)	St'át'imcets	cited form	qʷənúx̌ʷ	'sick', the base form
(2b)	Upper St'át'imcets	cited form	qʷənə́<n̓>x̌ʷ	'a bit sick, sicker', the diminutive form, marked (U)
(2c)	St'át'imcets	cited form	(ʔəs)qyax̌	'drunk', the base form
(2c)	St'át'imcets	cited form	(ʔəs)qyə<y̓>x̌	'a bit more drunk', the diminutive form
(2d)	St'át'imcets	cited form	xʷʔit	'much, many', the base form
(2d)	St'át'imcets	cited form	xʷʔi<ʔ>t	'a little, a few more', the diminutive form
(2e)	St'át'imcets	cited form	x̌zum	'big', the base form
(2e)	St'át'imcets	cited form	x̌zə́<z>əm̓	'a bit bigger', the diminutive form
(2f)	St'át'imcets	cited form	kəkáw̓	'far', the base form
(2f)	St'át'imcets	cited form	kəkə́<k>əw̓	'a bit further', the diminutive form
(2g)	St'át'imcets	cited form	huʔ	'more', the base form
(2g)	St'át'imcets	cited form	hú<h>uʔ	'a bit more', the diminutive form
(2h)	St'át'imcets	cited form	zaxt	'long', the base form
(2h)	St'át'imcets	cited form	zə́<z̓>xət	'a bit longer', the diminutive form
(2i)	St'át'imcets	cited form	ʕə́lʕəl	'strong', the base form
(2i)	St'át'imcets	cited form	ʕə́<ʕ>əlʕəl	'a bit stronger', the diminutive form
(2j)	St'át'imcets	cited form	xaʔ	'high', the base form
(2j)	St'át'imcets	cited form	xə́<x>aʔ	'a bit higher', the diminutive form
(3a)	St'át'imcets	cited form	ʕʷuy̓t	'sleep', the base form
(3a)	St'át'imcets	cited form	ʕʷə́<ʕʷ>y̓ət	'sleep a bit, nap', the diminutive form
(3b)	St'át'imcets	cited form	ʔíɬən	'eat', the base form
(3b)	Upper St'át'imcets	cited form	ʔí<ʔ>ɬən̓	'eat a bit', the diminutive form, marked (U)
(3c)	St'át'imcets	cited form	ʔúqʷaʔ	'drink', the base form
(3c)	St'át'imcets	cited form	ʔú<ʔ>qʷaʔ	'drink a bit', the diminutive form
(3d)	St'át'imcets	cited form	mícaʔq	'sit', the base form
(3d)	St'át'imcets	cited form	mə́<m̓>caʔq	'sit for a bit', the diminutive form
(3e)	St'át'imcets	cited form	sáy̓səz̓	'play', the base form
(3e)	St'át'imcets	cited form	sə́<s>əy̓səz̓	'play a bit', the diminutive form
(3f)	St'át'imcets	cited form	záxtan	'lengthen s.t.', the base form
